income,debt,age,repayment_history,target
133569,10488,49,0,0
72256,22574,28,1,1
109135,5240,62,1,1
147478,43221,42,0,0
55222,10478,50,1,1
97373,45162,55,1,0
99575,19262,58,1,1
143684,4432,25,1,1
116354,29721,28,1,1
104651,13568,39,1,1
83335,14178,68,1,1
30965,22195,41,0,0
44538,302,58,1,1
128066,17022,34,1,1
90592,55,29,1,1
118018,45781,63,0,0
133252,8717,49,1,1
28110,28699,32,1,0
99309,8150,33,1,1
47266,2125,39,1,1
72992,44247,45,0,0
102948,48513,37,1,0
142073,16748,50,1,1
118806,39577,27,0,0
26910,4621,57,1,1
130989,15034,49,1,1
110982,46391,67,1,0
141626,5126,50,1,1
139176,5122,19,1,1
20206,18030,50,1,0
107054,17302,50,1,1
107897,19181,58,1,1
142409,38638,30,0,0
43419,1531,47,1,1
70636,40940,50,1,0
142546,40441,30,1,1
134238,23333,69,1,1
70015,39650,43,1,0
137478,34674,39,1,1
142096,35854,56,0,0
127059,46271,19,1,1
74268,8152,55,1,1
130687,38518,56,1,1
107939,45540,43,1,0
38141,10267,63,1,1
100356,25289,67,1,1
125878,1062,32,1,1
91910,29926,51,1,1
76044,6229,59,1,1
87214,49277,61,0,0
137930,47915,66,1,1
139324,4632,57,1,1
53827,39056,28,1,0
75820,3596,20,0,0
82623,44243,23,0,0
101734,6168,26,1,1
95450,42563,23,0,0
113426,7561,26,1,1
137845,8258,56,1,1
42299,16616,48,1,1
63585,26734,49,0,0
129225,6371,58,1,1
84044,26069,67,0,0
62557,14369,29,0,0
69080,12910,25,1,1
129556,7943,25,1,1
22693,12199,67,1,0
115003,15728,45,1,1
115259,23275,37,1,1
132235,6738,64,1,1
89163,15913,24,1,1
45939,35240,28,1,0
68925,19123,37,0,0
62941,48447,33,1,0
41834,34529,21,0,0
38047,10167,23,1,1
46105,10554,39,1,1
95766,17260,43,1,1
35707,47045,20,1,0
41976,3812,58,1,1
64262,28024,59,0,0
145117,27285,31,1,1
43776,26900,28,1,0
50080,1605,35,1,1
148376,5622,29,0,0
86842,6767,40,1,1
81373,27139,29,1,1
26776,11613,30,1,0
112787,10589,42,1,1
147948,13918,62,1,1
75016,20119,68,1,1
29474,27446,36,1,0
125830,13046,63,0,0
78053,24818,53,1,1
41959,35358,62,0,0
25530,4324,25,1,1
114856,10787,46,1,1
139101,9111,49,1,1
23748,38110,68,1,0
117504,16389,61,0,0
118098,41427,35,0,0
33545,14043,23,1,0
147659,28746,35,1,1
86199,22350,36,0,0
54766,41605,39,1,0
93530,117,54,1,1
113557,46685,49,1,0
81087,18935,58,1,1
115839,47077,20,1,0
136183,13234,45,1,1
88840,38328,27,1,0
138451,846,68,1,1
74384,10954,52,1,1
71005,13703,46,1,1
66576,48153,32,1,0
59353,46514,50,1,0
82003,22700,24,0,0
103211,32043,29,1,1
72733,6469,66,1,1
85318,30105,47,0,0
129953,42101,38,1,1
109474,26386,48,1,1
43664,49376,41,1,0
87172,45587,37,1,0
105616,36976,54,1,1
145879,39051,21,0,0
113264,2048,45,1,1
135386,39001,61,1,1
46736,12941,37,1,1
114209,45375,41,1,1
123041,42533,67,1,1
132859,1828,66,1,1
132181,1917,68,1,1
20854,20618,49,1,0
110084,32254,58,1,1
58623,39756,53,0,0
27392,47362,51,0,0
75680,20128,53,1,1
146354,45745,19,0,0
66717,9,32,1,1
139937,16644,51,1,1
107092,22422,53,1,1
70859,9865,23,1,1
145657,2219,56,1,1
124095,39809,59,1,1
46309,5287,68,0,0
107455,34387,68,1,1
83734,8512,29,1,1
90467,1342,20,1,1
72662,43336,62,1,0
118506,19216,35,1,1
129751,27534,57,1,1
138906,14231,38,1,1
32688,32293,32,0,0
45342,26614,50,1,0
57157,36258,52,0,0
87863,28253,43,0,0
126308,42078,25,0,0
72083,40752,53,1,0
126081,17988,65,1,1
85733,31037,47,1,1
109045,12219,40,1,1
54698,235,59,1,1
130078,42929,61,0,0
100623,1908,31,1,1
42671,8567,31,1,1
45184,36298,19,1,0
113384,5256,54,1,1
62107,19019,22,0,0
106202,8162,55,1,1
129893,5415,62,1,1
71663,36159,58,1,0
35708,43925,64,0,0
111906,5951,31,1,1
69811,21852,56,1,1
22811,8007,42,0,0
76250,41832,37,1,0
132547,30523,19,1,1
92082,23325,56,1,1
144249,21204,23,1,1
54754,15524,34,1,1
115742,19282,42,1,1
126642,23930,45,1,1
31411,77,19,0,0
22911,40345,52,1,0
87270,20611,54,1,1
103763,16984,22,1,1
28680,14060,18,1,0
104896,17449,57,0,0
103879,18520,29,1,1
91295,43303,53,1,0
108614,9510,62,1,1
120689,29287,40,1,1
31111,28173,64,1,0
57504,39711,48,0,0
21802,11954,28,1,0
28155,7804,27,0,0
93656,6565,20,0,0
59384,5984,31,1,1
132561,21526,33,1,1
67254,37438,27,1,0
41918,18574,46,1,0
105981,9184,27,1,1
80713,19096,29,1,1
50306,2192,47,1,1
36646,34016,58,0,0
66843,11246,18,1,1
140975,45558,22,1,1
116601,18381,37,1,1
110735,36455,25,1,1
127512,26727,60,1,1
36371,4018,29,1,1
97371,11302,18,1,1
131472,1970,37,1,1
22049,41157,45,1,0
51616,27202,60,1,0
123727,31110,54,0,0
132893,17586,64,0,0
146603,24519,54,1,1
40932,31273,29,1,0
137796,21951,54,1,1
49855,15374,66,1,1
81434,5788,66,0,0
92694,5408,61,1,1
63016,25053,45,1,1
27400,9446,64,1,1
137858,922,32,1,1
62642,33187,23,1,0
35151,10789,61,1,1
71407,32184,37,1,0
86690,1120,67,0,0
24499,44028,31,1,0
26295,32154,19,0,0
140885,17334,26,1,1
146071,2336,54,0,0
79040,38141,37,1,0
32183,2243,43,0,0
49299,19029,46,1,1
32874,32265,18,1,0
136336,37380,52,0,0
52711,46714,23,0,0
25539,43872,54,1,0
127941,46197,22,1,1
73351,23710,50,1,1
81267,29486,66,1,1
143133,6371,68,0,0
68354,6359,31,1,1
146063,40631,29,1,1
22557,35996,59,1,0
58360,20103,37,1,1
102018,14382,67,1,1
22200,18755,41,1,0
132476,35659,60,0,0
88497,3756,51,1,1
66975,20609,42,1,1
41357,48538,67,1,0
139121,16478,46,0,0
97505,35442,56,0,0
22869,39666,48,1,0
146114,10147,64,1,1
81135,33561,60,1,0
70108,34884,67,1,0
132296,5779,40,0,0
114179,12298,61,1,1
110272,14153,55,1,1
58467,43879,37,1,0
43328,10789,40,0,0
139181,44165,62,1,1
111412,12999,69,0,0
106831,814,33,1,1
23987,49497,67,0,0
78871,10541,59,1,1
42399,24938,25,1,0
148391,2443,67,1,1
66214,10457,38,1,1
119522,10380,18,1,1
106416,7783,25,1,1
90271,44241,46,1,0
64064,17368,49,1,1
145615,15328,55,1,1
90091,26215,22,1,1
127450,33595,64,1,1
60818,27306,39,1,0
65525,19915,64,1,1
39830,39915,51,0,0
37429,37219,18,0,0
26893,15343,43,1,0
136381,46403,60,0,0
99909,38727,27,1,1
67333,126,47,1,1
23436,27632,67,1,0
94290,41563,35,0,0
96213,44409,34,1,0
25895,20530,43,1,0
39738,39964,25,1,0
50746,44327,64,0,0
69377,3368,57,1,1
68404,3797,66,1,1
74045,47882,29,1,0
117888,13718,44,1,1
149307,34560,25,1,1
59790,11053,42,1,1
127455,22116,63,1,1
25600,36244,21,1,0
114660,36185,50,1,1
113179,1645,18,1,1
60764,47523,36,1,0
94543,19256,48,1,1
65714,35840,33,1,0
76835,34622,31,1,0
122946,37430,65,1,1
148191,39282,22,1,1
129616,2708,58,1,1
125983,11694,43,1,1
93744,9524,45,1,1
76491,31880,19,0,0
144123,39224,67,1,1
38589,36980,23,0,0
63484,32409,26,1,0
102989,13224,50,0,0
56212,40738,58,1,0
63525,25150,42,0,0
67202,49688,65,1,0
52635,34393,30,1,0
83208,43082,26,0,0
53828,7973,30,1,1
38711,8577,48,0,0
23420,8070,58,0,0
116752,8666,28,1,1
20301,36368,21,1,0
65236,6783,51,1,1
135294,45994,55,1,1
137858,41914,63,1,1
86235,4971,21,0,0
74240,13490,55,1,1
144019,45719,36,1,1
85726,45080,23,1,0
30492,1990,51,1,1
135668,5299,35,1,1
121279,45765,30,1,1
26102,19956,58,1,0
70336,22359,40,1,1
138015,46240,36,1,1
105314,37148,62,1,1
143007,28734,28,0,0
46641,4757,18,0,0
54584,19097,41,1,1
52745,10395,24,1,1
140542,16241,42,1,1
43093,38356,38,1,0
86105,27696,32,1,1
123746,4944,18,1,1
120199,46163,29,1,1
71885,19816,24,1,1
56631,49840,32,1,0
131217,37011,38,1,1
92991,24917,36,1,1
24014,31195,46,1,0
31093,21566,42,1,0
38070,9916,50,0,0
55777,20806,66,1,1
76958,9984,49,1,1
102074,1759,66,1,1
30729,41949,52,1,0
119713,26838,61,1,1
65017,2482,55,1,1
86320,24442,43,1,1
47751,33719,28,0,0
126400,27965,52,1,1
125864,2079,25,1,1
98069,2717,63,1,1
125647,27952,31,1,1
125510,20908,27,1,1
74748,42460,19,1,0
25801,24861,63,1,0
39190,7311,26,0,0
69689,28071,20,1,0
124290,23570,38,0,0
70993,18449,43,1,1
49592,33536,25,1,0
30647,38258,65,0,0
28716,48302,19,1,0
108891,28865,23,1,1
107545,6645,45,1,1
137638,38000,46,1,1
109912,26737,43,1,1
130627,11485,42,1,1
90316,38565,29,1,0
146995,25522,22,1,1
22368,12342,51,1,0
97575,40806,65,1,0
26655,48770,54,1,0
126477,13087,32,0,0
90031,37641,61,1,0
96429,34249,53,1,1
111083,10093,32,0,0
107922,47190,60,1,0
75766,16438,65,1,1
144046,40411,40,1,1
33403,26399,23,1,0
52097,19846,63,1,1
98657,15708,67,0,0
140607,44039,61,1,1
30966,49984,60,1,0
144862,45368,62,1,1
119157,10998,38,1,1
138834,47063,40,1,1
113848,30678,60,1,1
72921,10682,33,1,1
69726,49148,64,1,0
146141,8519,32,1,1
70300,31480,42,1,0
42677,19694,53,1,0
75609,3300,28,1,1
116825,6722,68,0,0
76661,39986,32,0,0
51024,24160,21,0,0
128211,20059,38,0,0
90313,35822,30,1,1
147813,13575,39,1,1
73006,7970,36,1,1
115285,34911,51,1,1
35338,21591,31,1,0
88027,31821,21,1,1
112772,9503,65,1,1
133632,47917,69,1,1
100135,18922,63,1,1
39508,12175,44,0,0
140379,41124,46,1,1
23051,21389,64,1,0
68747,47838,45,1,0
134692,822,52,1,1
107142,17327,25,1,1
107235,47057,33,1,0
74021,6150,59,0,0
86412,4425,53,1,1
78335,16032,47,1,1
76179,2198,35,1,1
52093,20079,19,0,0
89678,36220,66,1,0
100738,41874,30,1,0
59734,13859,21,1,1
92615,31419,43,1,1
93523,8705,42,1,1
125103,42880,47,1,1
114476,23236,28,1,1
122769,22419,24,1,1
37019,19978,48,0,0
131721,37609,61,1,1
103613,15358,27,0,0
111794,34177,56,1,1
106672,29378,30,0,0
93847,37334,48,1,1
102750,11382,24,1,1
99634,14596,66,1,1
48251,33572,59,0,0
123481,13221,59,1,1
132566,1279,53,0,0
45945,45960,37,1,0
110852,7083,21,1,1
52217,43861,24,1,0
28308,17771,18,1,0
25949,29975,61,1,0
71990,45648,62,0,0
21150,48285,59,1,0
109480,19063,64,1,1
120235,2106,30,1,1
94740,24557,39,0,0
136352,48854,38,1,1
86617,20607,39,1,1
114841,37599,45,1,1
36896,28529,26,1,0
145729,35954,43,1,1
66175,27856,26,0,0
27805,2573,32,0,0
25237,12808,27,1,0
135247,35367,41,1,1
40056,36801,59,1,0
65543,41196,25,1,0
76556,34072,41,0,0
134548,23752,33,0,0
131488,17685,66,1,1
23343,41401,43,1,0
33500,11372,44,1,1
73222,8996,54,1,1
49375,16458,21,1,1
29662,31889,67,0,0
36964,26665,41,1,0
133429,38243,36,0,0
141692,31653,53,1,1
79638,26657,56,1,1
93666,39952,27,1,0
105067,22180,42,1,1
138937,31896,35,1,1
87215,12875,36,1,1
89042,1622,53,1,1
33284,48756,27,0,0
92789,40809,50,1,0
104664,16725,67,0,0
113468,40760,22,0,0
81389,15646,64,1,1
29435,17029,66,1,0
74340,29402,52,1,1
64078,4263,61,1,1
98832,30987,51,1,1
71293,46828,50,0,0
115981,47924,38,1,0
98781,8646,34,1,1
80403,27529,39,1,1
49124,11664,65,1,1
115435,35737,54,1,1
63919,35796,32,0,0
128761,24027,52,1,1
141305,29373,45,1,1
55247,36397,24,1,0
141172,20609,49,1,1
114758,35835,28,1,1
111747,38709,27,0,0
82752,19250,26,1,1
76573,21172,31,1,1
79101,11555,30,0,0
122756,21874,42,1,1
46646,13081,19,1,1
124185,24063,52,1,1
43049,6819,24,1,1
99605,25712,38,1,1
118116,24762,35,1,1
117379,11046,20,1,1
88385,31463,59,1,1
146131,28769,56,1,1
60158,23150,58,0,0
85417,2711,66,1,1
43289,4853,28,1,1
130226,29077,56,1,1
120793,23863,41,0,0
29823,21792,63,1,0
80160,40483,36,1,0
61975,8942,21,1,1
29540,48275,43,1,0
36364,48594,55,0,0
24611,1762,59,1,1
47663,31987,49,1,0
71991,15850,56,0,0
77679,12112,62,1,1
124182,24058,63,1,1
50977,45420,53,0,0
114704,38890,57,1,1
69115,481,54,1,1
111007,47304,50,1,0
108223,32921,53,0,0
80890,40385,20,1,0
86387,1524,26,1,1
38071,34888,25,1,0
79275,15048,50,1,1
92369,35111,23,1,1
31938,37904,58,1,0
55195,34008,56,1,0
111680,60,21,1,1
24000,9130,30,1,1
90588,18023,66,1,1
121042,45080,19,1,1
113610,13350,22,1,1
140420,24354,61,1,1
123691,45186,44,1,1
126306,28145,49,1,1
117856,34020,38,1,1
58304,20587,25,1,1
131783,41131,55,1,1
89449,9650,25,1,1
102986,19933,67,0,0
109643,20581,20,0,0
40764,23393,61,1,0
128940,23051,20,1,1
106027,26212,39,1,1
58494,49082,23,1,0
23373,4090,19,1,1
32161,6960,40,0,0
117532,35772,61,1,1
112658,21520,19,1,1
143633,49481,55,1,1
120386,36408,34,1,1
47350,28470,52,1,0
113008,20491,51,0,0
114297,1341,40,1,1
45351,44623,47,1,0
108668,24791,69,1,1
134585,338,25,1,1
35305,5895,39,1,1
95353,12254,61,1,1
96797,11344,53,1,1
85953,1750,22,1,1
77458,2421,30,1,1
127112,39887,46,1,1
40358,5319,48,1,1
23267,15896,64,1,0
102745,11918,33,0,0
109588,25064,59,0,0
58513,46617,47,0,0
46092,27935,33,1,0
31338,37641,29,1,0
20412,29711,34,0,0
27543,4806,33,0,0
125891,41360,29,1,1
53496,12182,25,1,1
80692,22297,37,1,1
109084,19541,20,1,1
112920,28921,33,1,1
143555,16774,47,0,0
64425,44813,62,1,0
58756,37198,40,1,0
38888,8820,45,1,1
55735,24070,68,1,0
67295,4232,57,0,0
137474,11122,22,1,1
134352,15023,37,1,1
103042,8007,57,1,1
105999,17905,61,1,1
37955,41786,18,1,0
57841,29398,47,0,0
90640,34268,38,0,0
85510,6737,37,1,1
54911,36062,23,1,0
79031,25510,39,0,0
108726,19426,35,1,1
27357,37265,25,1,0
52479,17850,56,1,1
81476,614,49,0,0
64811,21776,50,1,1
56208,24077,33,1,0
40150,9374,29,1,1
91180,35435,55,1,1
63286,30907,69,1,0
132856,13409,51,1,1
88450,16514,31,0,0
41352,29866,53,1,0
75069,2983,50,0,0
131888,31705,40,1,1
130448,20662,67,1,1
34397,23510,62,1,0
61555,12651,19,1,1
66959,40998,58,0,0
20728,28535,38,1,0
70517,6640,19,1,1
139180,44547,44,1,1
86234,15317,26,0,0
59954,7564,18,1,1
67280,27345,28,1,0
99459,48288,20,1,0
36779,28687,69,1,0
83932,13737,40,1,1
92936,9323,43,1,1
44466,15229,21,1,1
56939,44481,35,1,0
89896,8502,23,1,1
55270,545,52,1,1
79163,37114,39,1,0
102637,29430,60,1,1
71934,9996,32,0,0
84895,27788,39,1,1
52307,29969,54,1,0
74098,48543,69,1,0
80921,13919,59,0,0
25486,3810,29,1,1
28335,30586,64,1,0
106900,39974,66,1,1
146020,41773,59,1,1
141954,16371,55,1,1
122795,45084,35,0,0
109112,29629,62,0,0
117203,8436,52,1,1
31130,12984,47,1,0
107508,33039,41,1,1
125955,19895,59,1,1
138324,18155,47,1,1
80566,10616,31,1,1
86703,37129,23,1,0
47192,39837,20,1,0
21062,24574,33,0,0
104076,3430,24,1,1
109780,12676,69,1,1
41545,10816,31,0,0
41689,32733,26,1,0
31174,20144,32,1,0
108461,2050,38,1,1
146174,44460,52,1,1
123033,33933,19,1,1
29348,24951,44,1,0
43714,32413,19,1,0
58102,34801,52,1,0
94460,32913,35,1,1
122634,47037,31,0,0
109930,40600,37,0,0
26801,25280,35,1,0
123150,24557,27,1,1
92267,47054,42,1,0
68136,35400,19,1,0
43625,4494,42,0,0
102873,15152,50,1,1
120843,23895,53,1,1
92592,9155,48,0,0
97052,31883,31,1,1
64261,43194,18,0,0
21542,43001,63,1,0
41677,1828,33,1,1
66732,45028,63,1,0
70343,41898,69,1,0
59081,32123,20,1,0
82856,37573,52,1,0
113105,806,58,0,0
108858,40970,23,1,1
39065,29757,42,1,0
144097,34636,30,1,1
103460,14561,51,1,1
108092,48280,25,0,0
146116,24262,38,1,1
74693,14899,51,1,1
46962,48988,21,0,0
48295,15934,42,1,1
33807,38197,32,0,0
62348,41844,21,1,0
46432,36332,62,1,0
103285,34157,29,1,1
126995,11593,49,1,1
111792,40042,49,1,1
77854,49976,45,1,0
60262,17320,30,1,1
57080,27376,48,1,0
21324,43513,31,1,0
111267,14199,37,0,0
144707,15876,35,1,1
55909,8245,46,1,1
109339,7214,23,0,0
39870,726,49,1,1
54578,46600,46,1,0
92124,11362,60,0,0
137611,18297,19,1,1
123605,30448,40,1,1
46790,26172,36,1,0
138874,42874,48,0,0
45289,7657,68,0,0
75129,18850,22,1,1
113714,25425,36,1,1
114246,26685,51,1,1
35485,47319,27,1,0
64482,24578,42,0,0
106188,28831,19,1,1
24748,7906,28,1,1
106769,7287,67,1,1
29435,33660,48,1,0
23709,10222,32,1,0
143961,37443,26,1,1
50355,34701,40,0,0
75771,17764,36,1,1
77799,44641,26,1,0
33116,17674,52,1,0
45470,18024,38,1,1
62344,46007,26,1,0
62918,23874,45,1,1
72224,43642,63,0,0
59298,32284,68,1,0
128492,17602,24,1,1
100219,37784,33,1,1
81629,23265,33,1,1
86040,25931,50,1,1
119518,28841,21,0,0
119835,29192,21,1,1
48016,46542,56,1,0
43960,42520,57,0,0
53591,15585,34,1,1
102848,25559,54,1,1
123333,40059,56,0,0
131732,33742,69,1,1
134821,4133,46,1,1
87641,14663,69,1,1
56395,21754,53,1,1
131276,3972,55,1,1
149695,5295,56,1,1
42700,46681,67,1,0
54620,41873,54,1,0
123214,29125,69,1,1
148148,40996,52,1,1
40559,9903,24,1,1
113045,3020,44,1,1
113396,41755,45,1,1
81642,20420,39,1,1
96539,21452,31,1,1
41732,45648,24,1,0
148675,38001,54,1,1
111362,9516,39,0,0
50354,47327,22,1,0
33843,49469,19,1,0
130008,2396,44,1,1
134065,18546,38,1,1
91726,19129,55,1,1
37640,1591,32,0,0
72528,11303,38,1,1
58413,30561,27,1,0
148142,6183,40,1,1
72638,26572,56,1,1
72736,34080,22,1,0
127892,20695,18,1,1
130133,7314,30,1,1
126357,19623,38,1,1
88866,2139,43,1,1
39087,47456,67,1,0
61430,31290,62,1,0
44504,18088,38,1,0
27114,39692,35,1,0
98859,33130,54,1,1
119657,32088,62,1,1
30975,26292,49,1,0
31023,46249,53,1,0
41447,20670,34,1,0
110469,3738,52,1,1
145899,2469,66,0,0
43959,22534,28,1,0
86203,48874,38,1,0
139156,49708,69,1,1
49703,9017,43,1,1
29337,2808,21,1,1
66427,49138,51,1,0
141507,47638,69,0,0
81529,12713,65,1,1
122023,40329,35,1,1
104665,2719,57,1,1
125787,22890,52,1,1
51921,11700,58,1,1
53307,36509,46,0,0
47355,42534,69,1,0
123268,36766,46,1,1
147016,26705,55,1,1
24835,18787,59,1,0
40159,48845,38,1,0
124346,26588,59,1,1
67605,26123,30,1,1
141790,33062,66,1,1
125616,10177,58,1,1
58088,21727,34,1,1
